type	code	text	display_level	selectable	sort_sequence
1	000000	All workers	0	T	1
1	11111X	Soybean farming	6	T	7
1	11113X	Dry pea and bean farming	6	T	9
1	11114X	Wheat farming	6	T	10
1	11115X	Corn farming	6	T	11
1	11116X	Rice farming	6	T	12
1	111191	Oilseed and grain combination farming	7	T	14
1	11119X	Other grain farming	6	T	13
1	1111XX	Oilseed and grain farming	5	T	6
1	111211	Potato farming	7	T	18
1	11121X	Vegetable and melon farming	6	T	17
1	1112XX	Vegetable and melon farming	5	T	16
1	11131X	Orange groves	6	T	21
1	111331	Apple orchards	7	T	24
1	111332	Grape vineyards	7	T	25
1	111334	Berry (except strawberry) farming	7	T	27
1	111335	Tree nut farming	7	T	28
1	11133X	Noncitrus fruit and tree nut farming	6	T	23
1	1113XX	Fruit and tree nut farming	5	T	20
1	111411	Mushroom production	7	T	33
1	11141X	Food crops grown under cover	6	T	32
1	111421	Nursery and tree production	7	T	36
1	111422	Floriculture production	7	T	37
1	11142X	Nursery and floriculture production	6	T	35
1	1114XX	Greenhouse, nursery, and floriculture production	5	T	31
1	11191X	Tobacco farming	6	T	39
1	11192X	Cotton farming	6	T	40
1	11193X	Sugarcane farming	6	T	41
1	11194X	Hay farming	6	T	42
1	11199X	All other crop farming	6	T	43
1	1119XX	Other crop farming	5	T	38
1	111XXX	Crop production	4	T	5
1	112111	Beef cattle ranching and farming	7	T	50
1	112112	Cattle feedlots	7	T	51
1	11211X	Beef cattle ranching and farming, including feedlots	6	T	49
1	11212X	Dairy cattle and milk production	6	T	52
1	1121XX	Cattle ranching and farming	5	T	48
1	11221X	Hog and pig farming	6	T	55
1	1122XX	Hog and pig farming	5	T	54
1	11232X	Broilers and other meat type chicken production	6	T	58
1	11234X	Poultry hatcheries	6	T	60
1	1123XX	Poultry and egg production	5	T	56
1	11241X	Sheep farming	6	T	63
1	11242X	Goat farming	6	T	64
1	1124XX	Sheep and goat farming	5	T	62
1	112511	Finfish farming and fish hatcheries	7	T	67
1	11251X	Animal aquaculture	6	T	66
1	1125XX	Animal aquaculture	5	T	65
1	11291X	Apiculture	6	T	71
1	11292X	Horses and other equine production	6	T	72
1	11293X	Fur-bearing animal and rabbit production	6	T	73
1	1129XX	Other animal production	5	T	70
1	112XXX	Animal production	4	T	47
1	11311X	Timber tract operations	6	T	77
1	1131XX	Timber tract operations	5	T	76
1	11331X	Logging	6	T	81
1	1133XX	Logging	5	T	80
1	113XXX	Forestry and logging	4	T	75
1	114111	Finfish fishing	7	T	85
1	114112	Shellfish fishing	7	T	86
1	11411X	Fishing	6	T	84
1	1141XX	Fishing	5	T	83
1	11421X	Hunting and trapping	6	T	89
1	1142XX	Hunting and trapping	5	T	88
1	114XXX	Fishing, hunting and trapping	4	T	82
1	115111	Cotton ginning	7	T	93
1	115112	Soil preparation, planting, and cultivating	7	T	94
1	115115	Farm labor contractors and crew leaders	7	T	97
1	115116	Farm management services	7	T	98
1	11511X	Support activities for crop production	6	T	92
1	1151XX	Support activities for crop production	5	T	91
1	11521X	Support activities for animal production	6	T	100
1	1152XX	Support activities for animal production	5	T	99
1	11531X	Support activities for forestry	6	T	102
1	1153XX	Support activities for forestry	5	T	101
1	115XXX	Support activities for agriculture and forestry	4	T	90
1	211111	Crude petroleum and natural gas extraction	7	T	107
1	211112	Natural gas liquid extraction	7	T	108
1	21111X	Oil and gas extraction	6	T	106
1	2111XX	Oil and gas extraction	5	T	105
1	211XXX	Oil and gas extraction	4	T	104
1	212111	Bituminous coal and lignite surface mining	7	T	112
1	212112	Bituminous coal underground mining	7	T	113
1	21211X	Coal mining	6	T	111
1	2121XX	Coal mining	5	T	110
1	212221	Gold ore mining	7	T	118
1	21222X	Gold ore and silver ore mining	6	T	117
1	2122XX	Metal ore mining	5	T	115
1	212311	Dimension stone mining and quarrying	7	T	128
1	212312	Crushed and broken limestone mining and quarrying	7	T	129
1	21231X	Stone mining and quarrying	6	T	127
1	212321	Construction sand and gravel mining	7	T	133
1	212325	Clay and ceramic and refractory minerals mining	7	T	136
1	21232X	Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying	6	T	132
1	21239X	Other nonmetallic mineral mining and quarrying	6	T	137
1	2123XX	Nonmetallic mineral mining and quarrying	5	T	126
1	212XXX	Mining (except oil and gas)	4	T	109
1	213111	Drilling oil and gas wells	7	T	145
1	213112	Support activities for oil and gas operations	7	T	146
1	21311X	Support activities for mining	6	T	144
1	2131XX	Support activities for mining	5	T	143
1	213XXX	Support activities for mining	4	T	142
1	221111	Hydroelectric power generation	7	T	952
1	221112	Fossil fuel electric power generation	7	T	953
1	22111X	Electric power generation	6	T	951
1	221121	Electric bulk power transmission and control	7	T	957
1	221122	Electric power distribution	7	T	958
1	22112X	Electric power transmission, control, and distribution	6	T	956
1	2211XX	Electric power generation, transmission and distribution	5	T	950
1	22121X	Natural gas distribution	6	T	960
1	2212XX	Natural gas distribution	5	T	959
1	22131X	Water supply and irrigation systems	6	T	962
1	22132X	Sewage treatment facilities	6	T	963
1	2213XX	Water, sewage and other systems	5	T	961
1	221XXX	Utilities	4	T	949
1	236115	New single-family housing construction (except operative builders)	7	T	155
1	236116	New multifamily housing construction (except operative builders)	7	T	156
1	236118	Residential remodelers	7	T	158
1	23611X	Residential building construction	6	T	154
1	2361XX	Residential building construction	5	T	153
1	23621X	Industrial building construction	6	T	160
1	23622X	Commercial and institutional building construction	6	T	161
1	2362XX	Nonresidential building construction	5	T	159
1	236XXX	Construction of buildings	4	T	152
1	23711X	Water and sewer line and related structures construction	6	T	164
1	23712X	Oil and gas pipeline and related structures construction	6	T	165
1	23713X	Power and communication line and related structures construction	6	T	166
1	2371XX	Utility system construction	5	T	163
1	23721X	Land subdivision	6	T	168
1	2372XX	Land subdivision	5	T	167
1	23731X	Highway, street, and bridge construction	6	T	170
1	2373XX	Highway, street, and bridge construction	5	T	169
1	2379XX	Other heavy and civil engineering construction	5	T	171
1	237XXX	Heavy and civil engineering construction	4	T	162
1	238111	Residential poured concrete foundation and structure contractors	7	T	180
1	238112	Nonresidential poured concrete foundation and structure contractors	7	T	181
1	23811X	Poured concrete foundation and structure contractors	6	T	179
1	238122	Nonresidential structural steel and precast concrete contractors	7	T	184
1	23812X	Structural steel and precast concrete contractors	6	T	182
1	238131	Residential framing contractors	7	T	186
1	238132	Nonresidential framing contractors	7	T	187
1	23813X	Framing contractors	6	T	185
1	238141	Residential masonry contractors	7	T	189
1	238142	Nonresidential masonry contractors	7	T	190
1	23814X	Masonry contractors	6	T	188
1	238152	Non residential glass and glazing contractors	7	T	193
1	23815X	Glass and glazing contractors	6	T	191
1	238161	Residential roofing contractors	7	T	195
1	238162	Nonresidential roofing contractors	7	T	196
1	23816X	Roofing contractors	6	T	194
1	238171	Residential siding contractors	7	T	198
1	238172	Nonresidential siding contractors	7	T	199
1	23817X	Siding contractors	6	T	197
1	238192	Other nonresidential foundation, structure, and building exterior contractors	7	T	202
1	23819X	Other foundation, structure, and building exterior contractors	6	T	200
1	2381XX	Foundation, structure, and building exterior contractors	5	T	176
1	238211	Residential electrical contractors	7	T	207
1	238212	Nonresidential electrical contractors	7	T	208
1	23821X	Electrical contractors	6	T	206
1	238221	Residential plumbing, heating, and air-conditioning contractors	7	T	210
1	238222	Nonresidential plumbing, heating, and air-conditioning contractors	7	T	211
1	23822X	Plumbing, heating, and air-conditioning contractors	6	T	209
1	238291	Other residential building equipment contractors	7	T	213
1	238292	Other nonresidential building equipment contractors	7	T	214
1	23829X	Other building equipment contractors	6	T	212
1	2382XX	Building equipment contractors	5	T	203
1	238311	Residential drywall and insulation contractors	7	T	219
1	238312	Nonresidential drywall and insulation contractors	7	T	220
1	23831X	Drywall and insulation contractors	6	T	218
1	238321	Residential painting and wall covering contractors	7	T	222
1	238322	Nonresidential painting and wall covering contractors	7	T	223
1	23832X	Painting and wall covering contractors	6	T	221
1	23833X	Flooring contractors	6	T	224
1	238341	Residential tile and terrazzo contractors	7	T	228
1	23834X	Tile and terrazzo contractors	6	T	227
1	238351	Residential finish carpentry contractors	7	T	231
1	23835X	Finish carpentry contractors	6	T	230
1	238392	Other nonresidential building finishing contractors	7	T	235
1	23839X	Other building finishing contractors	6	T	233
1	2383XX	Building finishing contractors	5	T	215
1	238911	Residential site preparation contractors	7	T	240
1	238912	Nonresidential site preparation contractors	7	T	241
1	23891X	Site preparation contractors	6	T	239
1	238991	All other residential specialty trade contractors	7	T	243
1	238992	All other nonresidential specialty trade contractors	7	T	244
1	23899X	All other specialty trade contractors	6	T	242
1	2389XX	Other specialty trade contractors	5	T	236
1	238XXX	Specialty trade contractors	4	T	173
1	311111	Dog and cat food manufacturing	7	T	250
1	31111X	Animal food manufacturing	6	T	249
1	3111XX	Animal food manufacturing	5	T	248
1	311211	Flour milling	7	T	254
1	31121X	Flour milling and malt manufacturing	6	T	253
1	311221	Wet corn milling	7	T	258
1	311222	Soybean processing	7	T	259
1	311225	Fats and oils refining and blending	7	T	261
1	31122X	Starch and vegetable fats and oils manufacturing	6	T	257
1	31123X	Breakfast cereal manufacturing	6	T	262
1	3112XX	Grain and oilseed milling	5	T	252
1	311411	Frozen fruit, juice, and vegetable manufacturing	7	T	273
1	31141X	Frozen food manufacturing	6	T	272
1	311421	Fruit and vegetable canning	7	T	276
1	311423	Dried and dehydrated food manufacturing	7	T	278
1	31142X	Fruit and vegetable canning, pickling, and drying	6	T	275
1	3114XX	Fruit and vegetable preserving and specialty food manufacturing	5	T	271
1	31151X	Dairy product (except frozen) manufacturing	6	T	280
1	3115XX	Dairy product manufacturing	5	T	279
1	311611	Animal (except poultry) slaughtering	7	T	288
1	311612	Meat processed from carcasses	7	T	289
1	311615	Poultry processing	7	T	291
1	31161X	Animal slaughtering and processing	6	T	287
1	3116XX	Animal slaughtering and processing	5	T	286
1	31171X	Seafood product preparation and packaging	6	T	293
1	3117XX	Seafood product preparation and packaging	5	T	292
1	311811	Retail bakeries	7	T	298
1	311812	Commercial bakeries	7	T	299
1	31181X	Bread and bakery product manufacturing	6	T	297
1	3118XX	Bakeries and tortilla manufacturing	5	T	296
1	311911	Roasted nuts and peanut butter manufacturing	7	T	308
1	31191X	Snack food manufacturing	6	T	307
1	311942	Spice and extract manufacturing	7	T	314
1	31194X	Seasoning and dressing manufacturing	6	T	312
1	311991	Perishable prepared food manufacturing	7	T	316
1	31199X	All other food manufacturing	6	T	315
1	3119XX	Other food manufacturing	5	T	306
1	311XXX	Food manufacturing	4	T	247
1	312111	Soft drink manufacturing	7	T	321
1	31211X	Soft drink and ice manufacturing	6	T	320
1	31212X	Breweries	6	T	324
1	31213X	Wineries	6	T	325
1	3121XX	Beverage manufacturing	5	T	319
1	312XXX	Beverage and tobacco product manufacturing	4	T	318
1	3152XX	Cut and sew apparel manufacturing	5	T	374
1	315XXX	Apparel manufacturing	4	T	366
1	321113	Sawmills	7	T	420
1	32111X	Sawmills and wood preservation	6	T	419
1	3211XX	Sawmills and wood preservation	5	T	418
1	321214	Truss manufacturing	7	T	427
1	32121X	Veneer, plywood, and engineered wood product manufacturing	6	T	423
